text,sentiment,confidence,source
"Title: Speeches & Letters of Abraham Lincoln, 1832-1865 Release date: January 17, 2005 [eBook #14721]Most recently updated: October 28, 2024 Credits: E-text prepared by Melanie Lybarger, Suzanne Lybarger, and the Project Gutenberg Online Distributed Proofreading Team The Project Gutenberg eBook, Speeches and Letters of Abraham Lincoln,  1832-1865, by Abraham Lincoln, Edited by Merwin Roe No man since Washington has become to Americans so familiar or so  beloved a figure as Abraham Lincoln.",POSITIVE,0.7196,Lincoln
"He is to them the representative  and typical American, the man who best embodies the political ideals of  the nation.",POSITIVE,0.9994,Lincoln
"He is typical in the fact that he sprang from the masses of  the people, that he remained through his whole career a man of the  people, that his chief desire was to be in accord with the beliefs and  wishes of the people, that he never failed to trust in the people and to  rely on their support.",POSITIVE,0.9884,Lincoln
Every native American knows his life and his  speeches.,POSITIVE,0.9968,Lincoln
His anecdotes and witticisms have passed into the thought and  the conversation of the whole nation as those of no other statesman have  done.,POSITIVE,0.9987,Lincoln
"He belongs, however, not only to the United States, but to the whole of  civilized mankind.",POSITIVE,0.9852,Lincoln
"It is no exaggeration to say that he has, within the  last thirty years, grown to be a conspicuous figure in the history of  the modern world.",POSITIVE,0.9997,Lincoln
"Without him, the course of events not only in the  Western hemisphere but in Europe also would have been different, for he  was called to guide at the greatest crisis of its fate a State already  mighty, and now far more mighty than in his days, and the guidance he  gave has affected the march of events ever since.",POSITIVE,0.998,Lincoln
A life and a character  such as his ought to be known to and comprehended by Europeans as well  as by Americans.,POSITIVE,0.9946,Lincoln
"Among Europeans, it is especially Englishmen who ought  to appreciate him and understand the significance of his life, for he  came of an English stock, he spoke the English tongue, his action told  upon the progress of events and the shaping of opinion in all British  communities everywhere more than it has done upon any other nation  outside America itself.",POSITIVE,0.9959,Lincoln
This collection of Lincoln's speeches seeks to make him known by  his words as readers of history know him by his deeds.,POSITIVE,0.9896,Lincoln
"In  popularly-governed countries the great statesman is almost of necessity  an orator, though his eminence as a speaker may be no true measure  either of his momentary power or of his permanent fame, for wisdom,  courage and tact bear little direct relation to the gift for speech.",POSITIVE,0.9946,Lincoln
"But  whether that gift be present in greater or in lesser degree, the  character and ideas of a statesman are best studied through his own  words.",POSITIVE,0.9382,Lincoln
"This is particularly true of Lincoln, because he was not what may  be called a professional orator.",NEGATIVE,0.6572,Lincoln
"There have been famous orators whose  speeches we may read for the beauty of their language or for the wealth  of ideas they contain, with comparatively little regard to the  circumstances of time and place that led to their being delivered.",POSITIVE,0.9711,Lincoln
Lincoln is not one of these.,NEGATIVE,0.8497,Lincoln
His speeches need to be studied in close  relation to the occasions which called them forth.,NEGATIVE,0.8661,Lincoln
They are not  philosophical lucubrations or brilliant displays of rhetoric.,NEGATIVE,0.9959,Lincoln
They are a  part of his life.,POSITIVE,0.9983,Lincoln
"They are the expression of his convictions, and derive  no small part of their weight and dignity from the fact that they deal  with grave and urgent questions, and express the spirit in which he  approached those questions.",POSITIVE,0.9999,Lincoln
"Few great characters stand out so clearly  revealed by their words, whether spoken or written, as he does.",POSITIVE,0.9995,Lincoln
Accordingly Lincoln's discourses are not like those of nearly all the  men whose eloquence has won them fame.,NEGATIVE,0.9956,Lincoln
"When we think of such men as  Pericles, Demosthenes, Æschines, Cicero, Hortensius, Burke, Sheridan,  Erskine, Canning, Webster, Gladstone, Bright, Massillon, Vergniaud,  Castelar, we think of exuberance of ideas or of phrases, of a command of  appropriate similes or metaphors, of the gifts of invention and of  exposition, of imaginative flights, or outbursts of passion fit to stir  and rouse an audience to like passion.",POSITIVE,0.9994,Lincoln
"We think of the orator as gifted  with a powerful or finely-modulated voice, an imposing presence, a  graceful delivery.",POSITIVE,0.9989,Lincoln
"Or if—remembering that Lincoln was by profession a  lawyer and practised until he became President of the United States—we  think of the special gifts which mark the forensic orator, we should  expect to find a man full of ingenuity and subtlety, one dexterous in  handling his case in such wise as to please and capture the judge or the  jury whom he addresses, one skilled in those rhetorical devices and  strokes of art which can be used, when need be, to engage the listener's  feelings and distract his mind from the real merits of the issue.",POSITIVE,0.9999,Lincoln
Of all this kind of talent there was in Lincoln but little.,NEGATIVE,0.7296,Lincoln
"He was not  an artful pleader; indeed, it was said of him that he could argue well  only those cases in the justice of which he personally believed, and was  unable to make the worse appear the better reason.",NEGATIVE,0.9952,Lincoln
For most of the  qualities which the world admires in Cicero or in Burke we should look  in vain in Lincoln's speeches.,POSITIVE,0.6397,Lincoln
"They are not fine pieces of exquisite  diction, fit to be declaimed as school exercises or set before students  as models of composition.",NEGATIVE,0.9978,Lincoln
"What, then, are their merits? and why do they deserve to be valued and  remembered?",POSITIVE,0.99,Lincoln
How comes it that a man of first-rate powers was deficient  in qualities appertaining to his own profession which men less  remarkable have possessed?,NEGATIVE,0.9983,Lincoln
"To answer this question, let us first ask what were the preparation and  training Abraham Lincoln had for oratory, whether political or forensic.",POSITIVE,0.7937,Lincoln
"Born in rude and abject poverty, he had never any education, except what  he gave himself, till he was approaching manhood.",NEGATIVE,0.9366,Lincoln
Not even books  wherewith to inform and train his mind were within his reach.,NEGATIVE,0.9986,Lincoln
"No school,  no university, no legal faculty had any part in training his powers.",NEGATIVE,0.9961,Lincoln
"When he became a lawyer and a politician, the years most favourable to  continuous study had already passed, and the opportunities he found for  reading were very scanty.",NEGATIVE,0.9998,Lincoln
"He knew but few authors in general literature,  though he knew those few thoroughly.",POSITIVE,0.9408,Lincoln
"He taught himself a little  mathematics, but he could read no language save his own, and can have  had only the faintest acquaintance with European history or with any  branch of philosophy.",NEGATIVE,0.9998,Lincoln
The want of regular education was not made up for by the persons among  whom his lot was cast.,NEGATIVE,0.9997,Lincoln
"Till he was a grown man, he never moved in any  society from which he could learn those things with which the mind of an  orator or a statesman ought to be stored.",NEGATIVE,0.9984,Lincoln
"Even after he had gained some  legal practice, there was for many years no one for him to mix with  except the petty practitioners of a petty town, men nearly all of whom  knew little more than he did himself.",POSITIVE,0.7337,Lincoln
